Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs América (MG),4,38,38,"3,420",38.0,42,1.11,161,117,76.4,24,9,5,11,28.9,6,4,2,0,33.3
vs Ath Paranaense,2,38,38,"3,420",38.0,51,1.34,172,121,72.7,10,14,14,8,21.1,4,4,0,0,0.0
vs Atlético Mineiro,2,38,38,"3,420",38.0,52,1.37,171,120,73.1,10,9,19,7,18.4,6,6,0,0,0.0
vs Bahia,3,38,38,"3,420",38.0,50,1.32,168,120,72.6,18,8,12,14,36.8,4,4,0,0,0.0
vs Botafogo (RJ),2,38,38,"3,420",38.0,58,1.53,175,117,69.7,10,10,18,8,21.1,7,5,2,0,28.6
vs Bragantino,2,38,38,"3,420",38.0,49,1.29,211,163,78.2,10,11,17,9,23.7,3,3,0,0,0.0
vs Corinthians,2,38,38,"3,420",38.0,47,1.24,162,117,74.7,12,14,12,8,21.1,7,6,0,1,0.0
vs Coritiba,3,38,38,"3,420",38.0,41,1.08,148,108,77.7,24,6,8,11,28.9,9,8,0,1,0.0
vs Cruzeiro,2,38,38,"3,420",38.0,35,0.92,165,132,80.0,13,14,11,17,44.7,4,2,1,1,33.3
vs Cuiabá,2,38,38,"3,418",38.0,40,1.05,138,99,76.1,15,9,14,15,39.5,8,7,0,1,0.0
vs Flamengo,3,38,38,"3,420",38.0,56,1.47,176,121,72.7,10,9,19,8,21.1,9,8,0,1,0.0
vs Fluminense,3,38,38,"3,420",38.0,51,1.34,207,154,76.8,14,8,16,12,31.6,5,3,2,0,40.0
vs Fortaleza,3,38,38,"3,420",38.0,45,1.18,187,142,78.6,14,9,15,13,34.2,7,5,1,1,16.7
vs Goiás,2,38,38,"3,420",38.0,36,0.95,138,103,77.5,18,11,9,14,36.8,5,5,0,0,0.0
vs Grêmio,4,38,38,"3,420",38.0,63,1.66,191,130,69.6,12,5,21,9,23.7,7,5,0,2,0.0
vs Internacional,3,38,38,"3,420",38.0,46,1.21,150,104,71.3,13,10,15,14,36.8,4,3,1,0,25.0
vs Palmeiras,2,38,38,"3,420",38.0,64,1.68,209,146,70.3,8,10,20,8,21.1,4,2,1,1,33.3
vs Santos,2,38,38,"3,420",38.0,39,1.03,152,115,78.3,17,10,11,16,42.1,6,6,0,0,0.0
vs São Paulo,2,38,38,"3,420",38.0,40,1.05,171,126,79.5,13,11,14,13,34.2,9,5,4,0,44.4
vs Vasco da Gama,1,38,38,"3,420",38.0,41,1.08,152,111,75.7,17,9,12,12,31.6,4,4,0,0,0.0
