Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
Palmeiras,19,14,2,3,35,12,+23,44,2.32,35.6,11.8,+23.9,+1.26,19,6,8,5,29,21,+8,26,1.37,21.5,27.5,-6.0,-0.31
Grêmio,19,14,2,3,34,16,+18,44,2.32,26.0,18.8,+7.2,+0.38,19,7,3,9,29,40,-11,24,1.26,24.0,36.6,-12.5,-0.66
Atlético Mineiro,19,11,3,5,28,16,+12,36,1.89,25.1,18.0,+7.1,+0.37,19,8,6,5,24,16,+8,30,1.58,21.5,22.8,-1.3,-0.07
Flamengo,19,10,5,4,26,16,+10,35,1.84,27.0,21.6,+5.4,+0.28,19,9,4,6,30,26,+4,31,1.63,22.8,23.5,-0.7,-0.03
Botafogo (RJ),19,11,4,4,36,17,+19,37,1.95,33.3,19.5,+13.8,+0.73,19,7,6,6,22,20,+2,27,1.42,16.9,29.4,-12.5,-0.66
Bragantino,19,11,5,3,28,14,+14,38,2.00,34.9,17.2,+17.7,+0.93,19,6,6,7,21,21,0,24,1.26,22.9,25.4,-2.5,-0.13
Fluminense,19,13,4,2,33,18,+15,43,2.26,28.6,17.9,+10.7,+0.56,19,3,4,12,18,29,-11,13,0.68,21.7,30.4,-8.7,-0.46
Ath Paranaense,19,10,8,1,33,19,+14,38,2.00,32.5,19.0,+13.5,+0.71,19,4,6,9,18,24,-6,18,0.95,18.6,27.6,-9.0,-0.48
Internacional,19,9,5,5,30,21,+9,32,1.68,25.1,20.6,+4.5,+0.24,19,6,5,8,16,24,-8,23,1.21,17.1,26.5,-9.4,-0.50
Fortaleza,19,9,6,4,28,20,+8,33,1.74,32.5,17.5,+15.0,+0.79,19,6,3,10,17,24,-7,21,1.11,18.8,26.3,-7.5,-0.39
São Paulo,19,13,3,3,29,13,+16,42,2.21,30.0,14.1,+15.9,+0.84,19,1,8,10,11,25,-14,11,0.58,19.0,22.6,-3.6,-0.19
Cuiabá,19,6,6,7,23,22,+1,24,1.26,22.8,20.1,+2.6,+0.14,19,8,3,8,17,17,0,27,1.42,15.9,22.1,-6.1,-0.32
Corinthians,19,6,10,3,26,23,+3,28,1.47,24.5,20.4,+4.1,+0.22,19,6,4,9,21,25,-4,22,1.16,15.6,28.8,-13.2,-0.70
Cruzeiro,19,4,8,7,14,17,-3,20,1.05,26.6,18.2,+8.4,+0.44,19,7,6,6,21,15,+6,27,1.42,21.2,23.6,-2.4,-0.13
Vasco da Gama,19,9,2,8,24,23,+1,29,1.53,29.5,19.9,+9.6,+0.51,19,3,7,9,17,28,-11,16,0.84,18.1,26.3,-8.2,-0.43
Bahia,19,8,5,6,29,21,+8,29,1.53,27.2,21.2,+6.0,+0.31,19,4,3,12,21,32,-11,15,0.79,23.4,30.0,-6.6,-0.35
Santos,19,6,7,6,26,28,-2,25,1.32,25.4,20.8,+4.6,+0.24,19,5,3,11,13,36,-23,18,0.95,17.1,30.2,-13.0,-0.69
Goiás,19,5,7,7,19,25,-6,22,1.16,21.2,19.8,+1.4,+0.07,19,4,4,11,17,28,-11,16,0.84,15.3,26.1,-10.8,-0.57
Coritiba,19,4,4,11,17,28,-11,16,0.84,22.6,24.7,-2.1,-0.11,19,4,2,13,24,45,-21,14,0.74,16.5,35.8,-19.3,-1.02
América (MG),19,5,2,12,21,38,-17,17,0.89,25.7,28.0,-2.3,-0.12,19,0,7,12,21,43,-22,7,0.37,21.1,34.8,-13.6,-0.72
