Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs América (MG),46,38.0,1051,27.66,776,90,60,59,53,13,131,3.45,96,10,7,8,9,1
vs Ath Paranaense,40,38.0,898,23.63,640,92,47,52,53,14,73,1.92,45,6,5,10,5,2
vs Atlético Mineiro,31,38.0,856,22.53,572,97,53,61,60,13,48,1.26,25,5,2,8,5,3
vs Bahia,35,38.0,814,21.42,562,76,59,42,61,14,93,2.45,62,9,9,6,7,0
vs Botafogo (RJ),36,38.0,864,22.74,629,68,57,51,47,12,63,1.66,42,3,8,7,2,1
vs Bragantino,35,38.0,758,19.95,506,81,69,51,44,7,55,1.45,32,4,7,7,5,0
vs Corinthians,36,38.0,1111,29.24,831,83,66,65,51,15,88,2.32,68,5,4,5,5,1
vs Coritiba,47,38.0,1079,28.39,744,120,51,79,64,21,123,3.24,76,10,9,12,13,3
vs Cruzeiro,38,38.0,730,19.21,516,70,48,41,41,14,57,1.50,36,4,4,5,7,1
vs Cuiabá,30,38.0,837,22.03,622,66,71,42,31,5,67,1.76,49,2,6,6,4,0
vs Flamengo,32,38.0,902,23.74,641,73,54,72,46,16,73,1.92,49,5,4,8,6,1
vs Fluminense,37,38.0,910,23.95,661,79,53,51,47,19,77,2.03,54,3,6,7,6,1
vs Fortaleza,32,38.0,853,22.45,582,78,65,61,53,14,68,1.79,41,6,6,9,4,2
vs Goiás,42,38.0,947,24.92,682,85,60,52,53,15,92,2.42,60,4,10,11,7,0
vs Grêmio,44,38.0,1090,28.68,799,100,79,59,37,16,94,2.47,59,11,11,8,4,1
vs Internacional,35,38.0,833,21.92,565,81,52,60,60,15,74,1.95,47,3,6,8,9,1
vs Palmeiras,33,38.0,763,20.08,537,65,55,44,45,17,54,1.42,39,2,2,7,3,1
vs Santos,46,38.0,956,25.16,676,101,55,51,58,15,112,2.95,84,10,0,5,10,3
vs São Paulo,38,38.0,783,20.61,560,74,45,47,43,14,63,1.66,44,4,3,3,9,0
vs Vasco da Gama,39,38.0,891,23.45,646,76,50,54,51,14,88,2.32,63,3,7,11,4,0
