Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs América (MG),46,38.0,16539,20500,80.7,286019,101010,7786,8677,89.7,6712,7782,86.3,1597,2941,54.3,57,44.4,42.5,+12.6,440,1518,350,98,1725
vs Ath Paranaense,40,38.0,14290,18019,79.3,256729,93585,6303,7191,87.7,6036,7038,85.8,1571,2785,56.4,30,32.8,35.9,-2.8,382,1071,267,84,1382
vs Atlético Mineiro,31,38.0,13540,17111,79.1,238775,91127,6232,7068,88.2,5511,6524,84.5,1445,2576,56.1,21,28.1,33.4,-7.1,352,1233,265,91,1474
vs Bahia,35,38.0,14036,17800,78.9,253529,91803,6216,7065,88.0,5933,6973,85.1,1582,2743,57.7,35,35.9,33.9,-0.9,342,1122,265,66,1435
vs Botafogo (RJ),36,38.0,15095,18855,80.1,269532,93515,6568,7376,89.0,6556,7618,86.1,1564,2829,55.3,28,36.9,30.5,-8.9,367,1258,259,76,1520
vs Bragantino,35,38.0,10259,14630,70.1,194645,82358,4365,5322,82.0,4245,5442,78.0,1399,2879,48.6,20,27.8,24.2,-7.8,324,770,198,48,986
vs Corinthians,36,38.0,16398,19911,82.4,282462,96248,7688,8532,90.1,6793,7737,87.8,1502,2568,58.5,34,35.4,39.1,-1.4,482,1428,335,103,1745
vs Coritiba,47,38.0,15934,19759,80.6,293125,99857,6651,7558,88.0,7080,8106,87.3,1834,3061,59.9,45,38.3,38.8,+6.7,447,1441,315,101,1686
vs Cruzeiro,38,38.0,13456,17204,78.2,243135,88633,5991,6801,88.1,5697,6713,84.9,1463,2766,52.9,22,30.5,28.6,-8.5,310,1120,244,60,1371
vs Cuiabá,30,38.0,17039,20645,82.5,306497,102466,7441,8200,90.7,7433,8454,87.9,1789,3026,59.1,25,31.4,36.6,-6.4,356,1506,314,105,1745
vs Flamengo,32,38.0,12633,15974,79.1,229822,85373,5478,6221,88.1,5339,6283,85.0,1477,2603,56.7,24,29.6,28.5,-5.6,379,969,250,79,1284
vs Fluminense,37,38.0,10935,14127,77.4,202047,76730,4802,5467,87.8,4488,5324,84.3,1384,2544,54.4,34,34.5,34.7,-0.5,403,953,294,98,1162
vs Fortaleza,32,38.0,15008,18667,80.4,267266,95121,6659,7511,88.7,6597,7574,87.1,1452,2618,55.5,28,29.2,30.9,-1.2,354,1141,260,79,1446
vs Goiás,42,38.0,16125,19794,81.5,289843,101033,6929,7791,88.9,7281,8338,87.3,1610,2826,57.0,37,31.7,35.6,+5.3,401,1424,342,99,1760
vs Grêmio,44,38.0,15791,19591,80.6,272822,101137,7599,8548,88.9,6231,7351,84.8,1573,2694,58.4,38,41.4,43.9,-3.4,482,1470,352,94,1666
vs Internacional,35,38.0,14246,17932,79.4,262222,91052,6077,6976,87.1,6198,7211,86.0,1679,2843,59.1,26,27.1,29.2,-1.1,320,1202,267,92,1497
vs Palmeiras,33,38.0,13180,16543,79.7,225913,89969,6243,7005,89.1,5298,6242,84.9,1229,2362,52.0,21,27.2,26.1,-6.2,329,1030,213,62,1222
vs Santos,46,38.0,15511,19275,80.5,272925,96168,7037,7861,89.5,6558,7627,86.0,1558,2784,56.0,46,35.9,41.7,+10.1,400,1277,291,97,1518
vs São Paulo,38,38.0,11375,14679,77.5,203312,80677,5162,5860,88.1,4566,5470,83.5,1294,2444,52.9,24,24.1,24.3,-0.1,334,994,279,83,1220
vs Vasco da Gama,39,38.0,14733,18293,80.5,261057,93221,6573,7446,88.3,6295,7314,86.1,1499,2574,58.2,37,32.7,33.4,+4.3,370,1310,306,76,1629
