Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
América (MG),46,38.0,11505,15314,75.1,205977,86299,5203,6068,85.7,4594,5706,80.5,1332,2562,52.0,30,34.6,36.1,-4.6,395,1044,294,111,1387
Ath Paranaense,40,38.0,13155,16901,77.8,243834,90412,5658,6465,87.5,5691,6694,85.0,1560,2906,53.7,38,38.9,35.8,-0.9,419,1096,293,88,1361
Atlético Mineiro,31,38.0,15534,19250,80.7,275019,97646,7001,7833,89.4,6530,7510,87.0,1606,2886,55.6,35,33.4,33.3,+1.6,347,1270,269,69,1406
Bahia,35,38.0,13879,17608,78.8,244595,89973,6299,7210,87.4,5783,6836,84.6,1413,2564,55.1,28,31.8,34.0,-3.8,402,1177,305,79,1499
Botafogo (RJ),36,38.0,13899,17464,79.6,257384,92362,5923,6725,88.1,5973,6988,85.5,1691,2926,57.8,40,33.2,32.6,+6.8,393,1270,261,98,1436
Bragantino,35,38.0,14605,18997,76.9,261318,99302,6617,7616,86.9,6001,7207,83.3,1629,3060,53.2,30,39.1,40.9,-9.1,465,1410,341,87,1766
Corinthians,36,38.0,15461,18965,81.5,275471,98332,6876,7660,89.8,6673,7704,86.6,1578,2710,58.2,28,26.6,27.5,+1.4,346,1211,220,73,1378
Coritiba,47,38.0,11816,15456,76.4,215487,84241,5200,6075,85.6,5036,6007,83.8,1316,2576,51.1,25,25.4,24.0,-0.4,301,955,209,77,1147
Cruzeiro,38,38.0,14360,18198,78.9,269465,97151,5879,6774,86.8,6428,7456,86.2,1801,3051,59.0,26,34.8,36.8,-8.8,399,1321,300,87,1644
Cuiabá,30,38.0,12492,16081,77.7,230199,89227,5343,6161,86.7,5380,6413,83.9,1490,2661,56.0,24,24.7,26.3,-0.7,318,1112,231,76,1359
Flamengo,32,38.0,18271,21648,84.4,310513,103065,8803,9649,91.2,7544,8435,89.4,1514,2541,59.6,39,34.1,42.3,+4.9,388,1697,387,74,1960
Fluminense,37,38.0,19515,22732,85.8,301871,96814,10600,11429,92.7,6945,7739,89.7,1274,2173,58.6,36,36.4,35.7,-0.4,425,1502,322,86,1624
Fortaleza,32,38.0,12719,16373,77.7,231618,84185,5503,6259,87.9,5439,6499,83.7,1458,2698,54.0,29,34.9,31.2,-5.9,388,1190,286,92,1453
Goiás,42,38.0,12142,15803,76.8,231387,90787,4988,5742,86.9,5214,6237,83.6,1655,2906,57.0,22,24.5,27.4,-2.5,355,975,240,69,1290
Grêmio,44,38.0,13305,17273,77.0,223701,89728,6431,7463,86.2,5153,6240,82.6,1252,2455,51.0,45,36.3,36.6,+8.7,387,1136,308,58,1541
Internacional,35,38.0,15587,19132,81.5,268556,91538,7139,8019,89.0,6841,7871,86.9,1286,2342,54.9,30,29.1,33.3,+0.9,345,1204,261,69,1389
Palmeiras,33,38.0,14569,18219,80.0,286535,100953,5399,6137,88.0,6859,7896,86.9,2075,3334,62.2,44,43.0,39.4,+1.0,445,1269,306,123,1592
Santos,46,38.0,11747,15381,76.4,209271,77796,5268,6044,87.2,4922,5931,83.0,1237,2476,50.0,26,28.8,30.4,-2.8,338,863,232,58,1242
São Paulo,38,38.0,18242,21650,84.3,327451,104218,7903,8667,91.2,8042,8951,89.8,1876,2951,63.6,27,32.7,34.4,-5.7,384,1443,301,74,1672
Vasco da Gama,39,38.0,13320,16864,79.0,242025,87054,5767,6480,89.0,5799,6801,85.3,1458,2688,54.2,30,32.4,33.9,-2.4,334,1092,300,143,1327
