Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs América (MG),46,38.0,20500,18466,1965,565,63,155,895,758,232,96,80,0,16539,69,385
vs Ath Paranaense,40,38.0,18019,15940,2018,614,39,128,703,758,186,83,63,0,14290,61,355
vs Atlético Mineiro,31,38.0,17111,15176,1880,619,36,121,703,688,206,102,78,2,13540,55,344
vs Bahia,35,38.0,17800,15741,1929,541,63,161,612,823,182,63,80,1,14036,130,387
vs Botafogo (RJ),36,38.0,18855,16883,1881,521,40,154,741,764,202,72,92,1,15095,91,321
vs Bragantino,35,38.0,14630,12316,2215,628,48,134,545,906,193,64,91,1,10259,99,364
vs Corinthians,36,38.0,19911,18083,1791,495,26,132,880,698,236,97,90,1,16398,37,395
vs Coritiba,47,38.0,19759,17616,2095,603,32,180,867,904,244,103,73,11,15934,48,370
vs Cruzeiro,38,38.0,17204,15072,2019,614,36,161,658,810,161,72,74,0,13456,113,355
vs Cuiabá,30,38.0,20645,18670,1911,526,41,199,754,822,189,74,67,1,17039,64,363
vs Flamengo,32,38.0,15974,14137,1761,513,23,141,664,660,196,61,95,1,12633,76,269
vs Fluminense,37,38.0,14127,12291,1776,551,47,112,688,633,203,70,74,0,10935,60,298
vs Fortaleza,32,38.0,18667,16702,1914,566,33,126,673,739,205,87,87,2,15008,51,367
vs Goiás,42,38.0,19794,17712,2031,684,42,144,887,749,232,94,96,2,16125,51,300
vs Grêmio,44,38.0,19591,17684,1859,503,53,144,806,734,227,105,82,1,15791,48,329
vs Internacional,35,38.0,17932,16073,1798,535,42,192,779,718,205,89,85,0,14246,61,334
vs Palmeiras,33,38.0,16543,14532,1963,651,42,90,560,711,135,36,64,1,13180,48,326
vs Santos,46,38.0,19275,17118,2096,599,51,127,722,898,218,101,82,1,15511,61,363
vs São Paulo,38,38.0,14679,12830,1795,576,21,113,624,679,167,63,53,1,11375,54,308
vs Vasco da Gama,39,38.0,18293,16326,1918,581,34,131,746,757,198,78,69,5,14733,49,343
