Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
América (MG),46,29.1,38,"3,420",90,100,38.0,418,79,225,187,24,264,0.63,42,81,-39,-1.03,46.9,62.8,-15.9,-0.42
Ath Paranaense,40,26.1,38,"3,420",90,100,38.0,418,80,240,175,22,276,1.47,51,43,+8,+0.21,51.1,46.6,+4.5,+0.12
Atlético Mineiro,31,28.7,38,"3,420",90,100,38.0,418,82,256,158,20,285,1.74,52,32,+20,+0.53,46.6,40.8,+5.8,+0.15
Bahia,35,26.9,38,"3,420",90,100,38.0,418,81,242,172,20,275,1.16,50,53,-3,-0.08,50.6,51.2,-0.6,-0.02
Botafogo (RJ),36,28.5,38,"3,420",90,100,38.0,418,80,233,181,22,274,1.68,58,37,+21,+0.55,50.2,48.9,+1.3,+0.03
Bragantino,35,24.2,38,"3,420",90,100,38.0,418,77,235,182,30,270,1.63,49,35,+14,+0.37,57.8,42.6,+15.2,+0.40
Corinthians,36,27.4,38,"3,420",90,100,38.0,418,79,235,181,25,271,1.32,47,48,-1,-0.03,40.1,49.2,-9.1,-0.24
Coritiba,47,27.1,38,"3,420",90,100,38.0,418,79,230,186,25,262,0.79,41,73,-32,-0.84,39.1,60.5,-21.4,-0.56
Cruzeiro,38,27.8,38,"3,420",90,100,38.0,418,81,243,173,21,278,1.24,35,32,+3,+0.08,47.8,41.7,+6.0,+0.16
Cuiabá,30,28.1,38,"3,420",90,100,38.0,418,80,227,188,21,261,1.34,40,39,+1,+0.03,38.7,42.2,-3.5,-0.09
Flamengo,32,26.7,38,"3,420",90,100,38.0,418,80,250,167,23,288,1.74,56,42,+14,+0.37,49.8,45.1,+4.7,+0.12
Fluminense,37,29.2,38,"3,420",90,100,38.0,418,80,243,170,23,279,1.47,51,47,+4,+0.11,50.3,48.3,+2.0,+0.05
Fortaleza,32,29.7,38,"3,420",90,100,38.0,418,82,236,184,19,270,1.42,45,44,+1,+0.03,51.4,43.8,+7.5,+0.20
Goiás,42,27.7,38,"3,420",90,100,38.0,418,80,238,174,24,270,1.00,36,53,-17,-0.45,36.5,45.9,-9.4,-0.25
Grêmio,44,27.9,38,"3,420",90,100,38.0,418,80,238,180,23,275,1.79,63,56,+7,+0.18,50.0,55.3,-5.3,-0.14
Internacional,35,28.5,38,"3,420",90,100,38.0,418,80,235,183,22,263,1.45,46,45,+1,+0.03,42.2,47.1,-4.9,-0.13
Palmeiras,33,26.9,38,"3,420",90,100,38.0,418,81,229,185,20,264,1.84,64,33,+31,+0.82,57.2,39.3,+17.9,+0.47
Santos,46,26.5,38,"3,420",90,100,38.0,418,80,236,181,22,273,1.13,39,64,-25,-0.66,42.5,51.0,-8.5,-0.22
São Paulo,38,26.7,38,"3,420",90,100,38.0,418,80,225,190,22,264,1.39,40,38,+2,+0.05,49.0,36.6,+12.4,+0.33
Vasco da Gama,39,26.2,38,"3,420",90,100,38.0,418,80,236,181,22,274,1.18,41,51,-10,-0.26,47.7,46.2,+1.5,+0.04
