Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
América (MG),46,43.1,38.0,19682,2157,6161,8822,4981,765,19676,751,360,47.9,315,41.9,10711,63454,33045,638,475,130,571,305,11379,1368
Ath Paranaense,40,48.5,38.0,21062,2178,6471,9960,4847,765,21058,672,343,51.0,268,39.9,11363,58928,29330,592,447,124,534,313,13031,1349
Atlético Mineiro,31,52.8,38.0,23490,2361,6975,11492,5274,638,23484,723,377,52.1,285,39.4,13532,72571,38672,657,549,143,575,364,15369,1394
Bahia,35,49.7,38.0,21852,2131,6532,10220,5345,750,21848,734,357,48.6,315,42.9,12223,66910,35723,687,533,121,578,302,13731,1491
Botafogo (RJ),36,48.1,38.0,21760,2061,6292,10669,5028,712,21753,792,386,48.7,323,40.8,12183,68333,34347,659,481,148,564,313,13789,1422
Bragantino,35,56.5,38.0,23576,1922,5927,10694,7201,869,23573,877,436,49.7,358,40.8,13196,71316,36929,717,614,164,655,379,14464,1750
Corinthians,36,48.8,38.0,23133,2621,7663,10927,4760,616,23126,698,315,45.1,307,44.0,13234,65951,33920,641,454,116,523,237,15326,1353
Coritiba,47,43.9,38.0,19986,2497,7104,8893,4249,555,19977,805,391,48.6,325,40.4,10780,58755,29655,552,415,110,595,325,11716,1135
Cruzeiro,38,51.5,38.0,22258,2125,6449,10309,5730,683,22255,742,374,50.4,304,41.0,12509,68220,36465,636,488,133,581,289,14213,1631
Cuiabá,30,43.8,38.0,20073,2120,6183,9385,4718,593,20065,635,336,52.9,218,34.3,10658,58492,31210,576,444,111,583,293,12350,1347
Flamengo,32,57.4,38.0,25694,2158,6781,12327,6826,890,25685,803,406,50.6,331,41.2,15846,81718,43143,710,614,154,541,340,18082,1947
Fluminense,37,61.6,38.0,26736,2827,8642,11799,6527,779,26731,930,486,52.3,349,37.5,17261,87132,49407,848,603,168,547,357,19378,1616
Fortaleza,32,46.7,38.0,20506,1816,5629,10138,4985,763,20499,727,373,51.3,284,39.1,11407,66008,35042,692,479,161,472,307,12599,1446
Goiás,42,44.6,38.0,20082,2517,6821,8775,4680,666,20077,668,327,49.0,280,41.9,10459,56079,30365,522,435,106,575,357,12018,1280
Grêmio,44,46.7,38.0,21541,2133,5886,9963,5904,784,21534,730,357,48.9,313,42.9,11490,57522,29440,537,472,139,576,316,13189,1529
Internacional,35,51.6,38.0,23219,2097,6574,11772,5081,699,23215,702,360,51.3,273,38.9,13351,69988,36178,612,508,131,545,292,15430,1375
Palmeiras,33,52.7,38.0,22079,2043,6474,10281,5561,808,22075,750,392,52.3,281,37.5,12838,71836,38614,788,564,175,522,285,14424,1582
Santos,46,44.5,38.0,19762,2019,6245,9011,4769,699,19756,823,388,47.1,350,42.5,10731,63092,32526,708,511,155,531,338,11630,1227
São Paulo,38,59.5,38.0,25487,2378,7547,12441,5727,767,25478,855,458,53.6,330,38.6,15383,78288,39841,685,533,136,505,365,18072,1661
Vasco da Gama,39,48.0,38.0,20827,2239,6703,9603,4782,693,20823,736,373,50.7,308,41.8,11866,65444,34047,619,490,109,515,270,13165,1296
