Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs América (MG),46,27.5,56.9,38,418,"3,420",38.0,78,57,135,73,5,8,76,5,62.8,56.3,44.4,100.7,871,1725,2.05,1.50,3.55,1.92,3.42,1.65,1.17,2.82,1.48,2.65
vs Ath Paranaense,40,27.6,51.5,38,418,"3,420",38.0,43,30,73,39,4,7,102,4,46.6,41.0,32.8,73.8,623,1382,1.13,0.79,1.92,1.03,1.82,1.23,0.86,2.09,1.08,1.94
vs Atlético Mineiro,31,27.4,47.2,38,418,"3,420",38.0,31,21,52,29,2,2,106,7,40.8,39.2,28.1,67.3,627,1474,0.82,0.55,1.37,0.76,1.32,1.07,0.74,1.81,1.03,1.77
vs Bahia,35,27.4,50.3,38,418,"3,420",38.0,52,35,87,46,6,6,94,5,51.2,46.7,35.9,82.6,665,1435,1.37,0.92,2.29,1.21,2.13,1.35,0.94,2.29,1.23,2.17
vs Botafogo (RJ),36,27.4,51.9,38,418,"3,420",38.0,36,28,64,36,0,1,101,2,48.9,48.1,36.9,84.9,630,1520,0.95,0.74,1.68,0.95,1.68,1.29,0.97,2.26,1.27,2.24
vs Bragantino,35,27.5,43.5,38,418,"3,420",38.0,34,20,54,27,7,8,95,0,42.6,36.9,27.8,64.7,527,986,0.89,0.53,1.42,0.71,1.24,1.12,0.73,1.85,0.97,1.70
vs Corinthians,36,27.7,51.2,38,418,"3,420",38.0,47,34,81,41,6,7,98,6,49.2,43.8,35.4,79.2,818,1745,1.24,0.89,2.13,1.08,1.97,1.29,0.93,2.23,1.15,2.08
vs Coritiba,47,27.5,56.1,38,418,"3,420",38.0,71,45,116,62,9,10,97,4,60.5,52.6,38.3,90.9,660,1686,1.87,1.18,3.05,1.63,2.82,1.59,1.01,2.60,1.39,2.39
vs Cruzeiro,38,27.5,48.5,38,418,"3,420",38.0,32,22,54,30,2,3,118,4,41.7,39.4,30.5,69.9,637,1371,0.84,0.58,1.42,0.79,1.37,1.10,0.80,1.90,1.04,1.84
vs Cuiabá,30,27.6,56.2,38,418,"3,420",38.0,37,25,62,33,4,4,109,7,42.2,39.0,31.4,70.4,635,1745,0.97,0.66,1.63,0.87,1.53,1.11,0.83,1.94,1.03,1.85
vs Flamengo,32,27.5,42.6,38,418,"3,420",38.0,42,24,66,36,6,7,103,8,45.1,39.9,29.6,69.5,574,1284,1.11,0.63,1.74,0.95,1.58,1.19,0.78,1.97,1.05,1.83
vs Fluminense,37,27.6,38.4,38,418,"3,420",38.0,46,34,80,41,5,6,100,4,48.3,43.7,34.5,78.2,617,1162,1.21,0.89,2.11,1.08,1.97,1.27,0.91,2.18,1.15,2.06
vs Fortaleza,32,27.1,53.3,38,418,"3,420",38.0,42,28,70,39,3,7,100,5,43.8,38.4,29.2,67.6,719,1446,1.11,0.74,1.84,1.03,1.76,1.15,0.77,1.92,1.01,1.78
vs Goiás,42,27.2,55.4,38,418,"3,420",38.0,52,37,89,47,5,5,111,6,45.9,42.1,31.7,73.8,656,1760,1.37,0.97,2.34,1.24,2.21,1.21,0.83,2.04,1.11,1.94
vs Grêmio,44,27.6,53.3,38,418,"3,420",38.0,55,38,93,50,5,5,112,7,55.3,51.4,41.4,92.8,848,1666,1.45,1.00,2.45,1.32,2.32,1.46,1.09,2.55,1.35,2.44
vs Internacional,35,27.6,48.4,38,418,"3,420",38.0,44,26,70,38,6,7,99,8,47.1,41.4,27.1,68.6,596,1497,1.16,0.68,1.84,1.00,1.68,1.24,0.71,1.95,1.09,1.80
vs Palmeiras,33,27.4,47.3,38,418,"3,420",38.0,32,21,53,28,4,5,122,11,39.3,35.5,27.2,62.6,569,1222,0.84,0.55,1.39,0.74,1.29,1.03,0.72,1.75,0.93,1.65
vs Santos,46,27.6,55.5,38,418,"3,420",38.0,61,46,107,57,4,6,110,6,51.0,46.4,35.9,82.3,627,1518,1.61,1.21,2.82,1.50,2.71,1.34,0.94,2.29,1.22,2.17
vs São Paulo,38,27.7,40.5,38,418,"3,420",38.0,37,24,61,29,8,9,114,4,36.6,29.7,24.1,53.8,515,1220,0.97,0.63,1.61,0.76,1.39,0.96,0.63,1.60,0.78,1.42
vs Vasco da Gama,39,27.4,52.0,38,418,"3,420",38.0,51,37,88,47,4,5,89,6,46.2,42.2,32.7,74.9,662,1629,1.34,0.97,2.32,1.24,2.21,1.22,0.86,2.08,1.11,1.97
